"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PHIP",-0.118606063622483,9.89823176607488,-3.86371570920194,0.0024668522971684,0.0100098632092648,-2.71161571865146
"NDUFA7",-0.361280891372216,7.71496495899686,-3.85917014313331,0.00248669095393713,0.0100845975429096,-2.71986557467762
"CANX",-0.228592330593594,11.3281718086255,-3.85852691184527,0.00248951155532344,0.010090270421548,-2.72103309739587
"CD99",0.77448213704614,5.04028858671379,3.85805671615833,0.00249157547800677,0.0100928716708984,-2.72188656163952
"GALNT14",-0.228498426715105,7.7604418687638,-3.8577062235848,0.00249311511414741,0.0100933473845432,-2.72252275887602
"TBC1D22A",-0.1541505090171,7.92546160137523,-3.85612961274328,0.00250005298039728,0.0101156647673201,-2.72538464379703
"THOC5",-0.166950825631984,8.51303361023657,-3.85518708625776,0.00250421008551515,0.0101267116677499,-2.72709560596312
"UTP20",-0.139031675099972,10.9671683235004,-3.85450349278263,0.00250722960860856,0.0101331483669106,-2.72833656405349
"COIL",-0.16057811217096,7.57748994035839,-3.85238665542616,0.00251660383894927,0.010165246126934,-2.7321795424585
"MIB1",0.237520187254491,6.68162613887738,3.8481914281544,0.00253528916756744,0.0102348960308453,-2.73979653713205
"NUP42",-0.154479526925116,7.79892810554533,-3.84667124538777,0.00254209530469936,0.0102565380201542,-2.74255690505536
"METTL3",-0.169386145572314,7.62146726548393,-3.84086766481347,0.0025682530233376,0.0103561884696744,-2.75309645203888
"PI4KB",-0.436945700987542,7.46313058722449,-3.8403693807405,0.00257051179275178,0.0103594106718679,-2.75400145466833
"DENND6A",-0.14260247963122,6.48957211740998,-3.84002082490983,0.00257209304908046,0.0103599003231124,-2.75463452428029
"MDP1",0.1925616323476,7.78543633902483,3.83919093729869,0.00257586195661171,0.0103685195541072,-2.75614185006205
"RPL3",0.138925900281251,10.7789796606781,3.83890652365171,0.00257715492369241,0.0103685195541072,-2.75665844069387
"HACD2",0.335085442529883,7.54398804510212,3.83735824033391,0.00258420530711447,0.0103909943708733,-2.75947073051835
"ZDHHC5",-0.273866900810612,8.29398611691123,-3.83683059961361,0.00258661256080548,0.0103926400168423,-2.76042916685095
"USP3",-0.221856133201877,6.03572204355807,-3.83662672543518,0.00258754331545165,0.0103926400168423,-2.76079949999361
"OXA1L",-0.212932873183515,9.41674577537677,-3.83605430816534,0.00259015844315852,0.0103972593162308,-2.76183929757508
"EIF5B",-0.146828899973336,11.4706570113199,-3.8332468079297,0.00260302427496256,0.0104429978967831,-2.76693942142349
"TANC2",0.213298679196195,6.81900864581461,3.83131453943203,0.00261191753390202,0.010472219123672,-2.77044987415616
"SPECC1",0.140636220803183,9.22672605591191,3.83075203023235,0.00261451237155671,0.010472219123672,-2.77147185678171
"ZBTB38",-0.370424699883277,6.98263857195799,-3.83059293125323,0.00261524677299812,0.010472219123672,-2.7717609158109
"RIN1",-0.917026143541052,6.35291699110753,-3.83038426478362,0.00261621030101036,0.010472219123672,-2.77214003389109
"ORMDL2",-0.359389688149666,2.96371802547394,-3.82825160797631,0.00262607899213155,0.0105057962836289,-2.77601492806822
"AKAP13",-0.0970379407457909,10.0649947509997,-3.82752153779278,0.0026294661542597,0.0105134204488907,-2.77734148009809
"ARSL",-0.168887073551873,7.16311950531835,-3.82386569710678,0.00264649540017222,0.0105716984606573,-2.78398470092353
"PLEKHA1",-0.443726257026032,7.87147388279818,-3.82375324409393,0.00264702101797774,0.0105716984606573,-2.7841890580227
"WDR3",-0.130969903352746,10.4027499944718,-3.81912612765189,0.00266874237447333,0.0106524547984461,-2.79259842125807
"AGPAT5",-0.182868064890044,8.36809830574968,-3.8182116160961,0.00267305715165529,0.0106636799355242,-2.7942606146708
"RFC5",-0.126202049685475,9.55744715697318,-3.81704631224771,0.00267856563237457,0.0106796518499788,-2.79637871423528
"PATJ",-0.1430098992707,10.1678097589388,-3.81156283170211,0.00270464417408743,0.0107775742299261,-2.80634677536912
"IAH1",0.17512115993799,7.05584642321271,3.81101954462036,0.00270724218570304,0.010781873059447,-2.80733447833174
"MRM3",-0.210705409357734,6.50717593991215,-3.80988832376038,0.00271265997739912,0.0107973908354468,-2.8093911083256
"ATP2C1",-0.125121864018224,10.4250909036832,-3.80846370337995,0.0027194988777986,0.0108149560966033,-2.81198126397367
"DDX52",-0.142485487858613,8.47753090893354,-3.80833435344867,0.00272012070345736,0.0108149560966033,-2.81221644582623
"PLS3",-0.161211535748091,10.6034284058532,-3.80789924161592,0.00272221349944388,0.0108172168004217,-2.81300756598561
"RECQL4",-0.302835655825284,4.97822088105362,-3.80632598655636,0.00272979439823986,0.010841270757867,-2.81586815021256
"FERMT2",0.169970746060789,9.01081104919177,3.80421707683012,0.00273999059185861,0.0108716515138305,-2.81970291982158
"MPST",0.158786088316678,9.34972437651269,3.80365450261362,0.00274271716910924,0.0108716515138305,-2.82072592939129
"PADI1",0.269249874584472,7.97712771064475,3.80327208505292,0.00274457219558722,0.0108716515138305,-2.82142134472244
"NEDD8",0.329336311460669,7.60040855203989,3.80321555710458,0.00274484651046943,0.0108716515138305,-2.82152413989102
"APC",-0.26719422749485,6.03431024261984,-3.8031626054473,0.00274510349623564,0.0108716515138305,-2.82162043179999
"AHR",-0.176445660367163,9.63109860802669,-3.80166586365553,0.00275237778251976,0.0108943809941677,-2.82434230484067
"ETFA",-0.141328475450756,10.2481948891281,-3.80066075519836,0.00275727385009888,0.0109076769867067,-2.82617019972039
"FNDC3B",-0.14226232661092,9.51983339018719,-3.79833071710465,0.00276865848129091,0.0109406205733026,-2.83040784222228
"GRSF1",-0.164685544066332,9.08632294544885,-3.79832538451207,0.00276868459203205,0.0109406205733026,-2.83041754097246
"UBAP2L",-0.185953890614433,9.96807463724062,-3.79741074829852,0.00277316681755432,0.010952234226034,-2.83208107650235
"BCCIP",-0.187345646076841,9.27480903103681,-3.79683720921553,0.00277598129570186,0.0109572520887631,-2.83312425089708
"MED27",-0.454049432714966,5.96550744609731,-3.79538469043464,0.00278312230224304,0.0109793323952301,-2.83576623095384
"SAE1",-0.13522659328037,10.5003271857876,-3.7943008309368,0.00278846321550805,0.0109942908002559,-2.83773773696035
"BAZ1B",-0.174116047592371,9.9727500376266,-3.79361960018856,0.00279182551266197,0.0110006279205488,-2.83897690841368
