"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MKNK1",0.0296126497165812,6.53842095963067,0.398433630790006,0.697665049637096,0.783686112262499,-7.78428275706422
"LRRC20",-0.0190263670273936,8.00748073766527,-0.398198855611524,0.697833269068952,0.783751022405816,-7.7843829270193
"TRAPPC13",-0.0185664886647849,7.68136075841646,-0.397398804547739,0.698406642591893,0.78427087697384,-7.78472384819031
"DNAJB1",-0.0230073250317488,10.2871187703717,-0.396045868600097,0.699376697665197,0.785235947370654,-7.7852988494516
"CDC34",-0.0209942459239292,5.87788542737802,-0.394692259155495,0.700347793878868,0.786201881233522,-7.78587222777685
"STX8",0.0365856108785367,5.85722888785902,0.39447239201056,0.700505581907755,0.78625464412452,-7.78596518145133
"METTL22",0.046472018993899,3.18667835368712,0.394278134420355,0.700645003415429,0.786286778817094,-7.78604726618693
"CFL2",-0.0388917753853963,8.19994066126331,-0.392177379387918,0.702153477009881,0.787855055547687,-7.78693243940464
"SSU72",-0.0350690676966998,4.41474029013697,-0.391368929963185,0.702734350163951,0.788335975610727,-7.78727186078496
"CIAO3",-0.0160114147161607,7.34382935275849,-0.391248342873577,0.702821009238073,0.788335975610727,-7.78732242992858
"ARHGDIB",0.0282604036951337,8.6261526312897,0.390974529666659,0.703017799489379,0.788335975610727,-7.78743719931555
"RAB11FIP5",-0.100784384023267,6.42088451185975,-0.390868204083514,0.703094222053372,0.788335975610727,-7.78748174482481
"PEX26",0.0959044139462826,1.74891847648114,0.390734134823913,0.703190590518101,0.788335975610727,-7.7875378968399
"EYA4",-0.0671873079057228,5.00185282516916,-0.390653484308842,0.7032485644063,0.788335975610727,-7.78757166653283
"TPI1",-0.0402973101151609,10.1349152880762,-0.390178945049562,0.703589716438999,0.788580613803326,-7.7877702264507
"TFAM",-0.0251503554892505,10.2001659831871,-0.389962135305166,0.70374560616572,0.788580613803326,-7.78786086724216
"PWWP2A",0.04868206472743,3.74806700512527,0.389886292091967,0.703800142007928,0.788580613803326,-7.78789256313301
